Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
Clearwood® PRISMA,5986-55-0,"(1R,3R,6S,7S,8S)-2,2,6,8-tetramethyltricyclo[5.3.1.03,8]undecan-3-ol",Unclassified,,C15 O1,Tertiary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),222.37,3.61,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3,Fraterworks
Clonal™,2437-25-4,Dodecanenitrile,Unclassified,,C12 N1,Nitrile,Aliphatic,No,Lipophilic (Oil/Wax Compatible),181.32,4.43,CCCCCCCCCCCC#N,"Fraterworks, MySkinRecipes, PerfumersWorld"
Cocoa Hexenal,21834-92-4,(E)-5-methyl-2-phenylhex-2-enal,Unclassified,,C13 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),188.27,3.32,CC(C)CC=C(C=O)c1ccccc1,"Fraterworks, MySkinRecipes"
Conifer Acetate (Coniferan),67874-72-0,Coniferan,Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),212.33,3.54,CCC(C)(C)C1CCCCC1OC(C)=O,MySkinRecipes
Coranol,83926-73-2,4-cyclohexyl-2-methyl-2-butanol,Unclassified,,C11 O1,Tertiary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),170.3,3.12,CC(C)(O)CCC1CCCCC1,"Fraterworks, SimpleScentsDIY"
Corps Racine,2110-18-1,2-(3-phenylpropyl)pyridine,Unclassified,,C14 N1,Hydrocarbon / Other,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),197.28,3.26,c1ccc(CCCc2ccccn2)cc1,Fraterworks
Cosmone,259854-70-1,"5-Cyclotetradecen-1-one, 3-methyl-, (5E)-",Unclassified,,C15 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Lipophilic (Oil/Wax Compatible),222.37,4.66,CC1CC=CCCCCCCCCC(=O)C1,PerfumersWorld
Coumarin,91-64-5,coumarin,Aldehydic (Complex),Base,C9 O2,Lactone,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),146.14,1.79,O=c1ccc2ccccc2o1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Coumarone,1646-26-0,1-(1-benzofuran-2-yl)ethanone,Unclassified,,C10 O2,Ketone,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),160.17,2.64,CC(=O)c1cc2ccccc2o1,Fraterworks
Creosol,93-51-6,2-methoxy-4-methylphenol,Unclassified,,C8 O2,"Ether, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),138.17,1.71,COc1cc(C)ccc1O,"Fraterworks, MySkinRecipes"
Cuminyl Nitrile,13816-33-6,4-propan-2-ylbenzonitrile,Unclassified,,C10 N1,Nitrile,Aromatic (Benzene),No,Standard (Alcohol Compatible),145.2,2.68,CC(C)c1ccc(C#N)cc1,MySkinRecipes
Cyclamen Aldehyde,103-95-7,Cyclamen aldehyde,Floral (Mimosa),Heart,C13 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),190.29,3.19,CC(C=O)Cc1ccc(C(C)C)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Cyclohexyl Ethyl Alcohol,4442-79-9,2-cyclohexylethanol,Unclassified,,C8 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),128.22,1.95,OCCC1CCCCC1,Fraterworks
Cyclomethylene Citronellol,15760-18-6,3-(4-methylcyclohex-3-en-1-yl)butan-1-ol,Unclassified,,C11 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),168.28,2.75,CC1=CCC(C(C)CCO)CC1,Fraterworks
Cyclopidene,40203-73-4,methyl 2-cyclopentylideneacetate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),140.18,1.66,COC(=O)C=C1CCCC1,"Fraterworks, MySkinRecipes"
Cyclosia®,107-75-5,Hydroxycitronellal,Floral (Muguet),Heart,C10 O2,"Aldehyde, Tertiary Alcohol",Aliphatic,No,Standard (Alcohol Compatible),172.27,2.15,CC(CC=O)CCCC(C)(C)O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Cyclozonal,68991-96-8,"5,5-dimethyl-2,3,4,6,7,8-hexahydro-1H-naphthalene-2-carbaldehyde",Unclassified,,C13 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),192.3,3.49,CC1(C)CCCC2=C1CCC(C=O)C2,Fraterworks
Cymene Para,99-87-6,P-CYMENE,Unclassified,,C10,Hydrocarbon / Other,Aromatic (Benzene),No,Standard (Alcohol Compatible),134.22,3.12,Cc1ccc(C(C)C)cc1,PerfumersWorld
