Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
(E)-2-Hexen-1-yl Acetate (FEMA 2564),2497-18-9,[(E)-hex-2-enyl] acetate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),142.2,1.91,CCCC=CCOC(C)=O,MySkinRecipes
(E)-5-Tangerine Acetate,3239-35-8,"[(5E)-6,10-dimethylundeca-5,9-dien-2-yl] acetate",Unclassified,,C15 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),238.37,4.41,CC(=O)OC(C)CCC=C(C)CCC=C(C)C,MySkinRecipes
(Z)-3-Hexen-1-yl Lactate (FEMA 3690),61931-81-5,[(Z)-hex-3-enyl] 2-hydroxypropanoate,Unclassified,,C9 O3,"Ester, Secondary Alcohol",Aliphatic,No,Standard (Alcohol Compatible),172.22,1.27,CCC=CCCOC(=O)C(C)O,MySkinRecipes
(Z)-3-Octen-1-ol (FEMA 3467),20125-84-2,(Z)-oct-3-en-1-ol,Unclassified,,C8 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),128.21,2.12,CCCCC=CCCO,MySkinRecipes
(Z)-4-Phenylbut-3-ene-123-Triol (FEMA 2129),1319-88-6,"(Z)-4-phenylbut-3-ene-1,2,3-triol",Unclassified,,C10 O3,"Primary Alcohol, Secondary Alcohol",Aromatic (Benzene),No,Hydrophilic (Water Compatible),180.2,0.94,OCC(O)C(O)=Cc1ccccc1,MySkinRecipes
"(Z)-5-Octenoate, methyl (FEMA-4165)",41654-15-3,methyl (Z)-oct-5-enoate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),156.22,2.3,CCC=CCCCC(=O)OC,MySkinRecipes
(Z)-Hept-4-Enal (FEMA 3289),6728-31-0,(Z)-hept-4-enal,Unclassified,,C7 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),112.17,1.93,CCC=CCCC=O,MySkinRecipes
(Z)-Hex-3-Enyl-2-Methylbutanoate (FEMA 3497),53398-85-9,[(Z)-hex-3-enyl] 2-methylbutanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),184.28,2.93,CCC=CCCOC(=O)C(C)CC,MySkinRecipes
(Z)-Hex-3-Enyl-2-Oxopropanoate (FEMA 3934),68133-76-6,[(Z)-hex-3-enyl] 2-oxopropanoate,Unclassified,,C9 O3,"Ester, Ketone",Aliphatic,No,Standard (Alcohol Compatible),170.21,1.47,CCC=CCCOC(=O)C(C)=O,MySkinRecipes
(Z)-Hex-4-En-1-ol (FEMA 3430),928-91-6,(Z)-hex-4-en-1-ol,Unclassified,,C6 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),100.16,1.33,CC=CCCCO,MySkinRecipes
(Z)-Non-6-Enal (FEMA 3580),2277-19-2,(Z)-non-6-enal,Unclassified,,C9 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),140.23,2.71,CCC=CCCCCC=O,MySkinRecipes
(Z)-Oct-5-Enal (FEMA 3749),41547-22-2,(Z)-oct-5-enal,Unclassified,,C8 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),126.2,2.32,CCC=CCCCC=O,MySkinRecipes
"1,1,3-Trimethyl-3-Phenyl Indan",3910-35-8,"1,1,3-trimethyl-3-phenyl-2H-indene",Unclassified,,C18,Hydrocarbon / Other,Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),236.36,4.67,CC1(C)CC(C)(c2ccccc2)c2ccccc21,MySkinRecipes
1-Octen-3-ol,3391-86-4,oct-1-en-3-ol,Unclassified,,C8 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),128.21,2.11,C=CC(O)CCCCC,"Fraterworks, MySkinRecipes"
1-Octen-3-yl Acetate (FEMA 3582),2442-10-6,oct-1-en-3-yl acetate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),170.25,2.68,C=CC(CCCCC)OC(C)=O,MySkinRecipes
16-Hexanedithiol (FEMA 3495),1191-43-1,"hexane-1,6-dithiol",Unclassified,,C6 S2,Thiol,Aliphatic,No,Standard (Alcohol Compatible),150.31,2.41,SCCCCCCS,MySkinRecipes
"2,4,5-Trimethyl Thiazole (FEMA 3325)",13623-11-5,"2,4,5-trimethyl-1,3-thiazole",Unclassified,,C6 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),127.21,2.07,Cc1nc(C)c(C)s1,MySkinRecipes
"2,4-Decadienal (FEMA 3135)",2363-88-4,"(2E,4E)-deca-2,4-dienal",Unclassified,,C10 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),152.24,2.88,CCCCCC=CC=CC=O,MySkinRecipes
"2,4-Dimethyl-5-Acetyl Thiazole (FEMA 3267)",38205-60-6,"5-Acetyl-2,4-dimethylthiazole",Unclassified,,C7 O1 N1 S1,"Ketone, Thiazole",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),155.22,1.96,CC(=O)c1sc(C)nc1C,MySkinRecipes
2-4-Methylcyclohexylpropan-2-ol,498-81-7,2-(4-methylcyclohexyl)propan-2-ol,Unclassified,,C10 O1,Tertiary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),156.27,2.58,CC1CCC(C(C)(C)O)CC1,MySkinRecipes
2-Acetyl Furan,1192-62-7,1-(furan-2-yl)ethanone,Unclassified,,C6 O2,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),110.11,1.48,CC(=O)c1ccco1,MySkinRecipes
2-Acetyl Pyridine,1122-62-9,1-pyridin-2-ylethanone,Unclassified,,C7 O1 N1,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),121.14,1.28,CC(=O)c1ccccn1,"Fraterworks, MySkinRecipes"
2-Acetyl Thiophene,88-15-3,1-thiophen-2-ylethanone,Unclassified,,C6 O1 S1,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),126.18,1.95,CC(=O)c1cccs1,MySkinRecipes
2-Acetyl-1-Pyrroline (FEMA 4249),85213-22-5,"1-(3,4-dihydro-2H-pyrrol-5-yl)ethanone",Unclassified,,C6 O1 N1,Ketone,Aliphatic,Yes,Hydrophilic (Water Compatible),111.14,0.81,CC(=O)C1=NCCC1,MySkinRecipes
2-Acetylpyrazine,22047-25-2,Acetylpyrazine,Gourmet (Roasted),Heart-Base,C6 O1 N2,"Ketone, Pyrazine",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),122.13,0.68,CC(=O)c1cnccn1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
2-Acetylpyrrole,1072-83-9,1-(1H-pyrrol-2-yl)ethanone,Unclassified,,C6 O1 N1,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),109.13,1.22,CC(=O)c1ccc[nH]1,MySkinRecipes
2-Amino Pyrazine,5049-61-6,pyrazin-2-amine,Unclassified,,C4 N3,"Amine, Pyrazine",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),95.11,0.06,Nc1cnccn1,MySkinRecipes
2-Ethoxy Thiazole (FEMA 3340),15679-19-3,"2-ethoxy-1,3-thiazole",Unclassified,,C5 O1 N1 S1,"Ether, Thiazole",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),129.18,1.54,CCOc1nccs1,MySkinRecipes
2-Ethoxy-3-Isopropyl Pyrazine (FEMA 4632),72797-16-1,2-ethoxy-3-propan-2-ylpyrazine,Unclassified,,C9 O1 N2,"Ether, Pyrazine",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),166.22,2.0,CCOc1nccnc1C(C)C,MySkinRecipes
"2-Ethoxy-4-4-Methyl-1,3-Dioxolan-2-Ylphenol (FEMA 3838)",68527-76-4,"2-ethoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",Unclassified,,C12 O4,"Acetal, Phenol",Aromatic (Benzene),Yes,Standard (Alcohol Compatible),224.26,2.22,CCOc1cc(C2OCC(C)O2)ccc1O,MySkinRecipes
2-Ethoxypyrazine,38028-67-0,2-ethoxypyrazine,Unclassified,,C6 O1 N2,"Ether, Pyrazine",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),124.14,0.88,CCOc1cnccn1,MySkinRecipes
2-Ethyl Fenchol (Terrasol),18368-91-7,"2-ethyl-1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",Unclassified,,C12 O1,Tertiary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),182.31,2.97,CCC1(O)C2(C)CCC(C2)C1(C)C,MySkinRecipes
2-Ethyl Furan (FEMA 3673),3208-16-0,2-ethylfuran,Unclassified,,C6 O1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),96.13,1.84,CCc1ccco1,MySkinRecipes
2-Heptanol (FEMA 3288),543-49-7,heptan-2-ol,Unclassified,,C7 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),116.2,1.95,CCCCCC(C)O,MySkinRecipes
2-Isobutyl Quinoline,93-19-6,2-(2-methylpropyl)quinoline,Unclassified,,C13 N1,Quinoline,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),185.27,3.43,CC(C)Cc1ccc2ccccc2n1,"Fraterworks, MySkinRecipes"
2-Isopropyl Phenol,88-69-7,2-propan-2-ylphenol,Unclassified,,C9 O1,Phenol,Aromatic (Benzene),No,Standard (Alcohol Compatible),136.19,2.52,CC(C)c1ccccc1O,Fraterworks
2-Mercaptopropionic acid-2-Thiolpropionic Acid (FEMA 3180),79-42-5,2-sulfanylpropanoic acid,Unclassified,,C3 O2 S1,"Carboxylic Acid, Thiol",Aliphatic,No,Hydrophilic (Water Compatible),106.15,0.39,CC(S)C(=O)O,MySkinRecipes
2-Mercaptothiophene (FEMA 3062),7774-74-5,thiophene-2-thiol,Unclassified,,C4 S2,Thiol,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),116.21,2.04,Sc1cccs1,MySkinRecipes
2-Methoxy Pyrazine (FEMA 3302),3149-28-8,2-methoxypyrazine,Unclassified,,C5 O1 N2,"Ether, Pyrazine",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),110.12,0.49,COc1cnccn1,MySkinRecipes
2-Methoxy Thiazole,14542-13-3,"2-methoxy-1,3-thiazole",Unclassified,,C4 O1 N1 S1,"Ether, Thiazole",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),115.16,1.15,COc1nccs1,MySkinRecipes
2-Methyl Butyl Acetate,624-41-9,2-methylbutyl acetate,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),130.19,1.6,CCC(C)COC(C)=O,MySkinRecipes
2-Methyl Butyl Hexanoate,2601-13-0,2-methylbutyl hexanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.16,CCCCCC(=O)OCC(C)CC,MySkinRecipes
2-Methyl Butyric Acid (FEMA 2695),116-53-0,2-methylbutanoic acid,Unclassified,,C5 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),102.13,1.12,CCC(C)C(=O)O,MySkinRecipes
2-Methyl Thiazole,3581-87-1,"2-methyl-1,3-thiazole",Unclassified,,C4 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),99.16,1.45,Cc1nccs1,MySkinRecipes
2-Methyl Valeric Acid (FEMA 2754),97-61-0,2-methylpentanoic acid,Unclassified,,C6 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),116.16,1.51,CCCC(C)C(=O)O,MySkinRecipes
2-Methyl-3-Furyl Disulfide (FEMA 3259),28588-75-2,2-methyl-3-[(2-methylfuran-3-yl)disulfanyl]furan,Unclassified,,C10 O2 S2,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Lipophilic (Oil/Wax Compatible),226.32,4.29,Cc1occc1SSc1ccoc1C,MySkinRecipes
2-Methyl-3-Methylthio Furan (FEMA 3949),63012-97-5,2-methyl-3-methylsulfanylfuran,Unclassified,,C6 O1 S1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),128.2,2.31,CSc1ccoc1C,MySkinRecipes
2-Methyl-3-Tetrahydrofuranthiol (FEMA 3787),57124-87-5,2-methyloxolane-3-thiol,Unclassified,,C5 O1 S1,"Ether, Thiol",Aliphatic,Yes,Standard (Alcohol Compatible),118.2,1.09,CC1OCCC1S,MySkinRecipes
2-Methyl-35-6-Ethoxy Pyrazine (FEMA 3569),32737-14-7,2-ethoxy-3-methylpyrazine,Unclassified,,C7 O1 N2,"Ether, Pyrazine",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),138.17,1.18,CCOc1nccnc1C,MySkinRecipes
2-Methyl-35-6-Furfurylthio Pyrazine (FEMA 3189),65530-53-2,2-(furan-2-ylmethylsulfanyl)-3-methylpyrazine,Unclassified,,C10 O1 N2 S1,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),206.27,2.67,Cc1nccnc1SCc1ccco1,MySkinRecipes
2-Methyl-35-6-Methylthio Pyrazine (FEMA 3208),2882-20-4,2-methyl-3-methylsulfanylpyrazine,Unclassified,,C6 N2 S1,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),140.21,1.51,CSc1nccnc1C,MySkinRecipes
2-Methyl-5-Ethyl Pyrazine (FEMA 3154),13360-64-0,2-ethyl-5-methylpyrazine,Unclassified,,C7 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),122.17,1.35,CCc1cnc(C)cn1,MySkinRecipes
2-Methylbutyl Butyrate (FEMA 2934),51115-64-1,2-methylbutyl butanoate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),158.24,2.38,CCCC(=O)OCC(C)CC,MySkinRecipes
2-Methylbutyl Isobutyrate,2445-69-4,2-methylbutyl 2-methylpropanoate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),158.24,2.23,CCC(C)COC(=O)C(C)C,MySkinRecipes
2-Methylbutyl-2-Methylbutyrate (FEMA 3359),2445-78-5,2-METHYLBUTYL 2-METHYLBUTYRATE,Fruit (Apple),Top,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.62,CCC(C)COC(=O)C(C)CC,MySkinRecipes
2-Methyldecanal,19009-56-4,2-methyldecanal,Unclassified,,C11 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),170.3,3.57,CCCCCCCCC(C)C=O,"Fraterworks, MySkinRecipes"
2-Methylthio Thiazole,5053-24-7,"2-methylsulfanyl-1,3-thiazole",Unclassified,,C4 N1 S2,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),131.22,1.86,CSc1nccs1,MySkinRecipes
2-Octen-4-one,4643-27-0,2-Octen-4-one,Earthy (Mushroom),Heart,C8 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),126.2,2.32,CC=CC(=O)CCCC,"MySkinRecipes, PerfumersWorld"
23-Hexanedione (FEMA 2558),3848-24-6,"hexane-2,3-dione",Unclassified,,C6 O2,Ketone,Aliphatic,No,Hydrophilic (Water Compatible),114.14,0.94,CCCC(=O)C(C)=O,MySkinRecipes
25-Dimethyl Furan (FEMA 4106),625-86-5,"2,5-dimethylfuran",Unclassified,,C6 O1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),96.13,1.9,Cc1ccc(C)o1,MySkinRecipes
25-Dimethyl-14-Dithiane-25-Diol (FEMA 3450),55704-78-4,"2,5-dimethyl-1,4-dithiane-2,5-diol",Unclassified,,C6 O2 S2,Tertiary Alcohol,Aliphatic,Yes,Hydrophilic (Water Compatible),180.29,0.88,CC1(O)CSC(C)(O)CS1,MySkinRecipes
25-Dimethyl-3-Furanthiol (FEMA 3451),55764-23-3,"2,5-Dimethylfuran-3-thiol",Unclassified,,C6 O1 S1,Thiol,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),128.2,2.19,Cc1cc(S)c(C)o1,MySkinRecipes
25-Dimethyl-32hfuranone (FEMA 4101),14400-67-0,"2,5-dimethylfuran-3-one",Unclassified,,C6 O2,"Ether, Ketone",Aliphatic,Yes,Hydrophilic (Water Compatible),112.13,0.88,CC1=CC(=O)C(C)O1,MySkinRecipes
25-Hexanedione,110-13-4,"hexane-2,5-dione",Unclassified,,C6 O2,Ketone,Aliphatic,No,Hydrophilic (Water Compatible),114.14,0.94,CC(=O)CCC(C)=O,MySkinRecipes
3-Mercapto-2-Butanone (FEMA 3298),40789-98-8,3-sulfanylbutan-2-one,Unclassified,,C4 O1 S1,"Ketone, Thiol",Aliphatic,No,Hydrophilic (Water Compatible),104.17,0.89,CC(=O)C(C)S,MySkinRecipes
3-Mercapto-2-Pentanone (FEMA 3300),67633-97-0,3-sulfanylpentan-2-one,Unclassified,,C5 O1 S1,"Ketone, Thiol",Aliphatic,No,Standard (Alcohol Compatible),118.2,1.28,CCC(S)C(C)=O,MySkinRecipes
3-Methyl-2-Butanethiol (FEMA 3304),2084-18-6,3-methylbutane-2-thiol,Unclassified,,C5 S1,Thiol,Aliphatic,No,Standard (Alcohol Compatible),104.22,1.96,CC(C)C(C)S,MySkinRecipes
3-Methyl-2-Cyclopenten-1-one (FEMA 3435),2758-18-1,3-methylcyclopent-2-en-1-one,Unclassified,,C6 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),96.13,1.3,CC1=CC(=O)CC1,MySkinRecipes
3-Methyl-3-Methoxy Butanol (MMB),56539-66-3,3-Methoxy-3-methylbutan-1-ol,Solvent,Blender,C6 O2,"Ether, Primary Alcohol",Aliphatic,No,Hydrophilic (Water Compatible),118.18,0.79,COC(C)(C)CCO,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
3-Methylbutyl Propanoate (FEMA 2082),105-68-0,3-methylbutyl propanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,1.99,CCC(=O)OCCC(C)C,MySkinRecipes
3-Methylcrotonic Acid (FEMA 3187),541-47-9,3-methylbut-2-enoic acid,Unclassified,,C5 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),100.12,1.04,CC(C)=CC(=O)O,MySkinRecipes
3-Methylthio Propanol (FEMA 3415),505-10-2,3-methylsulfanylpropan-1-ol,Unclassified,,C4 O1 S1,Primary Alcohol,Aliphatic,No,Hydrophilic (Water Compatible),106.19,0.73,CSCCCO,MySkinRecipes
3-Methylthio Propyl Acetate (FEMA 3883),16630-55-0,3-methylsulfanylpropyl acetate,Unclassified,,C6 O2 S1,Ester,Aliphatic,No,Standard (Alcohol Compatible),148.23,1.3,CSCCCOC(C)=O,MySkinRecipes
3-Methylthio Propyl Isothiocyanate (FEMA 3312),505-79-3,1-isothiocyanato-3-methylsulfanylpropane,Unclassified,,C5 N1 S2,Hydrocarbon / Other,Aliphatic,No,Standard (Alcohol Compatible),147.27,1.84,CSCCCN=C=S,MySkinRecipes
3-Methylthio-1-hexanol (FEMA 3438),51755-66-9,3-methylsulfanylhexan-1-ol,Unclassified,,C7 O1 S1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),148.27,1.9,CCCC(CCO)SC,MySkinRecipes
3-Octanol (FEMA 3581),589-98-0,octan-3-ol,Unclassified,,C8 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),130.23,2.34,CCCCCC(O)CC,MySkinRecipes
3-Phenylpropyl-2-Methylpropanoate (FEMA 2893),103-58-2,3-phenylpropyl 2-methylpropanoate,Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),206.28,2.82,CC(C)C(=O)OCCCc1ccccc1,MySkinRecipes
34-Hexanedione (FEMA 3768),4437-51-8,"hexane-3,4-dione",Unclassified,,C6 O2,Ketone,Aliphatic,No,Hydrophilic (Water Compatible),114.14,0.94,CCC(=O)C(=O)CC,MySkinRecipes
"4,5-Dimethyl Thiazole (FEMA 3274)",3581-91-7,"4,5-dimethyl-1,3-thiazole",Unclassified,,C5 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),113.18,1.76,Cc1ncsc1C,MySkinRecipes
"4,5-Dimethyl-2-Isobutyl Thiazoline (FEMA 3621)",65894-83-9,"4,5-dimethyl-2-(2-methylpropyl)-2,5-dihydro-1,3-thiazole",Unclassified,,C9 N1 S1,Hydrocarbon / Other,Aliphatic,Yes,Standard (Alcohol Compatible),171.31,2.95,CC1=NC(CC(C)C)SC1C,MySkinRecipes
4-Ethyl Guaiacol,2785-89-9,4-ethyl-2-methoxyphenol,Unclassified,,C9 O2,"Ether, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),152.19,1.96,CCc1ccc(O)c(OC)c1,"Fraterworks, MySkinRecipes"
4-Hydroxy-5-Methyl-32h Furanone (FEMA 3635),19322-27-1,4-hydroxy-5-methylfuran-3-one,Unclassified,,C5 O3,"Ether, Ketone",Aliphatic,Yes,Hydrophilic (Water Compatible),114.1,0.38,CC1=C(O)C(=O)CO1,MySkinRecipes
4-Methyl Thiazole (FEMA 3716),693-95-8,"4-methyl-1,3-thiazole",Unclassified,,C4 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),99.16,1.45,Cc1cscn1,MySkinRecipes
"4-Methyl-2-(E)-Pent-1-Enyl-1,3-Dioxolane (FEMA 4272)",94089-21-1,"4-methyl-2-[(E)-pent-1-enyl]-1,3-dioxolane",Unclassified,,C9 O2,Acetal,Aliphatic,Yes,Standard (Alcohol Compatible),156.22,2.1,CCCC=CC1OCC(C)O1,MySkinRecipes
"4-Methyl-2-Phenyl-1,3-Dioxolane (FEMA 2130)",2568-25-4,"4-methyl-2-phenyl-1,3-dioxolane",Unclassified,,C10 O2,Acetal,Aromatic (Benzene),Yes,Standard (Alcohol Compatible),164.2,2.12,CC1COC(c2ccccc2)O1,MySkinRecipes
4-Methyl-4-Furfurylthio-2-Pentanone (FEMA 3840),180031-78-1,4-(furan-2-ylmethylsulfanyl)pentan-2-one,Unclassified,,C10 O2 S1,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),198.29,2.88,CC(=O)CC(C)SCc1ccco1,MySkinRecipes
4-Methyl-4-Mercapto-2-Pentanone (FEMA 3997),19872-52-7,4-Mercapto-4-methyl-2-pentanone,Unclassified,,C6 O1 S1,"Ketone, Thiol",Aliphatic,No,Standard (Alcohol Compatible),132.23,1.67,CC(=O)CC(C)(C)S,MySkinRecipes
4-Methyl-4-Methylthio-2-Pentanone (FEMA 3376),23550-40-5,4-methyl-4-methylsulfanylpentan-2-one,Unclassified,,C7 O1 S1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),146.25,2.11,CSC(C)(C)CC(C)=O,MySkinRecipes
4-Methyl-5-Thiozoleethanol Acetate (FEMA 3205),656-53-1,"2-(4-methyl-1,3-thiazol-5-yl)ethyl acetate",Unclassified,,C8 O2 N1 S1,"Ester, Thiazole",Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),185.25,1.56,CC(=O)OCCc1scnc1C,MySkinRecipes
4-Methyl-5-Vinyl Thiazole (FEMA 3313),1759-28-0,"5-ethenyl-4-methyl-1,3-thiazole",Unclassified,,C6 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),125.2,2.09,C=Cc1scnc1C,MySkinRecipes
4-Prop-1-En-2-yl-1-Cyclohexenylmethanol (FEMA 2664),536-59-4,(4-prop-1-en-2-ylcyclohexen-1-yl)methanol,Unclassified,,C10 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),152.24,2.28,C=C(C)C1CC=C(CO)CC1,MySkinRecipes
5-Hydroxymethylfurfural,67-47-0,5-(hydroxymethyl)furan-2-carbaldehyde,Unclassified,,C6 O3,"Aldehyde, Primary Alcohol",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),126.11,0.58,O=Cc1ccc(CO)o1,MySkinRecipes
5-Methyl Quinoxaline (FEMA 3203),13708-12-8,5-methylquinoxaline,Unclassified,,C9 N2,Pyrazine,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),144.18,1.94,Cc1cccc2nccnc12,MySkinRecipes
5-Methyl-2-Propan-2-Ylhex-2-Enal (FEMA 3406),35158-25-9,5-methyl-2-propan-2-ylhex-2-enal,Unclassified,,C10 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),154.25,2.81,CC(C)CC=C(C=O)C(C)C,MySkinRecipes
"6-Methoxy-2,6-Dimethylheptanal (FEMA 4745)",62439-41-2,"6-methoxy-2,6-dimethylheptanal",Unclassified,,C10 O2,"Aldehyde, Ether",Aliphatic,No,Standard (Alcohol Compatible),172.27,2.42,COC(C)(C)CCCC(C)C=O,MySkinRecipes
6-Methyl Coumarin,92-48-8,6-Methylcoumarin,Gourmet (Coconut),Base,C10 O2,Lactone,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),160.17,2.1,Cc1ccc2oc(=O)ccc2c1,"MySkinRecipes, PerfumersWorld"
6-Methyl Quinoline,91-62-3,6-methylquinoline,Unclassified,,C10 N1,Quinoline,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),143.19,2.54,Cc1ccc2ncccc2c1,Fraterworks
6r-6-Pentyl-56-Dihydropyran-2-one (FEMA 3744),51154-96-2,"(2R)-2-pentyl-2,3-dihydropyran-6-one",Unclassified,,C10 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),168.24,2.44,CCCCCC1CC=CC(=O)O1,MySkinRecipes
Acetal CD,29895-73-6,"(2-benzyl-1,3-dioxolan-4-yl)methanol",Unclassified,,C11 O3,"Acetal, Primary Alcohol",Aromatic (Benzene),Yes,Hydrophilic (Water Compatible),194.23,0.96,OCC1COC(Cc2ccccc2)O1,"Fraterworks, MySkinRecipes"
Acetate C-9,143-13-5,nonyl acetate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.3,CCCCCCCCCOC(C)=O,"Fraterworks, MySkinRecipes"
Acetic Acid,64-19-7,acetic acid,Vinegar,Top,C2 O2,Carboxylic Acid,Aliphatic,No,Hydrophilic (Water Compatible),60.05,0.09,CC(=O)O,PerfumersWorld
Acetoin,513-86-0,acetoin,Gourmet (Buttery),Heart,C4 O2,"Ketone, Secondary Alcohol",Aliphatic,No,Hydrophilic (Water Compatible),88.11,-0.04,CC(=O)C(C)O,"Fraterworks, MySkinRecipes, PerfumersWorld"
Acetone glycerol,100-79-8,"(2,2-dimethyl-1,3-dioxolan-4-yl)methanol",Unclassified,,C6 O3,"Ketal, Primary Alcohol",Aliphatic,Yes,Hydrophilic (Water Compatible),132.16,0.13,CC1(C)OCC(CO)O1,MySkinRecipes
Acetophenone,98-86-2,ACETOPHENONE,Floral (Hawthorn),Top,C8 O1,Ketone,Aromatic (Benzene),No,Standard (Alcohol Compatible),120.15,1.89,CC(=O)c1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Acetyl Isoeugenol,93-29-8,RefChem:1087544,Spice (Clove),Heart,C12 O3,"Ester, Ether",Aromatic (Benzene),No,Standard (Alcohol Compatible),206.24,2.65,CC=Cc1ccc(OC(C)=O)c(OC)c1,"Fraterworks, MySkinRecipes, PerfumersWorld"
