SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
3JN00258,Jessemal Jasmonyl from PerfumersWorld,18871-14-2,Jasmopyrane,Floral,No description available,C12 O3,"Ester, Ether",Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),214.3,2.53,CCCCCC1COCCC1OC(=O)C
8F3094001887,Jessemal from SimpleScentsDIY,38285-49-3,5-Methyl-3-butyltetrahydropyran-4-yl acetate,Floral,No description available,C12 O3,"Ester, Ether",Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),214.3,2.39,CCCCC1COCC(C1OC(=O)C)C
4WU16857,Karanal from PerfumersWorld,117933-89-8,"2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-1,3-dioxane",Woods,No description available,C17 O2,Acetal,Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),266.42,4.4,CCC(C)C1(COC(OC1)C2CCC(=CC2C)C)C
4WY07089,Kephalis from PerfumersWorld,36306-87-3,Kephalis,Woods,No description available,C14 O2,"Ether, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),224.34,3.57,CCOC(=C)C1C(CC(=O)CC1(C)C)(C)C
8F3094001905,Kephalis from SimpleScentsDIY,36306-87-3,Kephalis,Woods,No description available,C14 O2,"Ether, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),224.34,3.57,CCOC(=C)C1C(CC(=O)CC1(C)C)(C)C
4WI10591,Koavone from PerfumersWorld,81786-73-4,"(Z)-3,4,5,6,6-Pentamethylhept-3-en-2-one",Woods,No description available,C12 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.59,CC(C(=C(C)C(=O)C)C)C(C)(C)C
8F3094001778,Koavone from SimpleScentsDIY,81786-75-6,"3,5,6,6-Tetramethyl-4-methyleneheptan-2-one",Unclassified,No description available,C12 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),182.31,3.45,CC(C(=O)C)C(=C)C(C)C(C)(C)C
8F3094005334,Kohinool from SimpleScentsDIY,87118-95-4,"3,4,5,6,6-pentamethylheptan-2-ol",Woods,No description available,C12 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),186.34,3.32,CC(C(C)C(C)O)C(C)C(C)(C)C
4BB00088,L-Carvone from PerfumersWorld,99-49-0,CARVONE,Musk (Botanical),Base,C10 O1,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),150.22,2.49,CC1=CCC(CC1=O)C(=C)C
5AA12488,Lauric Acid 10% in DPG from PerfumersWorld,143-07-7,lauric acid,Green (Fatty),No description available,C12 O2,Carboxylic Acid,Aliphatic,No,Base Note,Standard (Alcohol Compatible),200.32,3.99,CCCCCCCCCCCC(=O)O
1AA06214,Lauric Acid from PerfumersWorld,143-07-7,lauric acid,Green (Fatty),No description available,C12 O2,Carboxylic Acid,Aliphatic,No,Base Note,Standard (Alcohol Compatible),200.32,3.99,CCCCCCCCCCCC(=O)O
5HW23697,Lavender Aldehyde 10% in DPG from PerfumersWorld,35158-25-9,5-methyl-2-propan-2-ylhex-2-enal,Green (Herbal),No description available,C10 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.81,CC(C)CC=C(C=O)C(C)C
4HW03807,Lavender Aldehyde from PerfumersWorld,35158-25-9,5-methyl-2-propan-2-ylhex-2-enal,Green (Herbal),No description available,C10 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.81,CC(C)CC=C(C=O)C(C)C
4GI15439,Leafovert from PerfumersWorld,67633-96-9,(3Z)-Hex-3-en-1-yl methyl carbonate,Green,No description available,C8 O3,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.2,2.13,CCC=CCCOC(=O)OC
3CC06770,Lemonile from PerfumersWorld,61792-11-8,"3,7-Dimethylnona-2,6-dienenitrile",Citrus,No description available,C11 N1,Nitrile,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),163.26,3.59,CCC(=CCCC(=CC#N)C)C
8F3094001795,Lemonile from SimpleScentsDIY,61792-11-8,"3,7-Dimethylnona-2,6-dienenitrile",Citrus,No description available,C11 N1,Nitrile,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),163.26,3.59,CCC(=CCCC(=CC#N)C)C
4GI24147,Liffarome from PerfumersWorld,67633-96-9,(3Z)-Hex-3-en-1-yl methyl carbonate,Green,No description available,C8 O3,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.2,2.13,CCC=CCCOC(=O)OC
8F3094004159,Liffarome from SimpleScentsDIY,67633-96-9,(3Z)-Hex-3-en-1-yl methyl carbonate,Green,No description available,C8 O3,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.2,2.13,CCC=CCCOC(=O)OC
3MA00273,Lilial from PerfumersWorld,80-54-6,Lilial,Floral,No description available,C14 O1,Aldehyde,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),204.31,3.36,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O
8F3094004370,Lily Flore (Powder) from SimpleScentsDIY,285977-85-7,"2,3-Dihydro-2,5-dimethyl-1H-indene-2-methanol",Floral,No description available,C12 O1,Primary Alcohol,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),176.26,2.09,CC1=CC2=C(CC(C2)(C)CO)C=C1
8F3094001912,Lily Flore 10 % In DPG from SimpleScentsDIY,285977-85-7,"2,3-Dihydro-2,5-dimethyl-1H-indene-2-methanol",Floral,No description available,C12 O1,Primary Alcohol,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),176.26,2.09,CC1=CC2=C(CC(C2)(C)CO)C=C1
5CK21690,Lime Oxide 10% in TEC from PerfumersWorld,7392-19-0,LIMETOL,Floral,No description available,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.91,CC1(CCCC(O1)(C)C=C)C
4CK00275,Lime Oxide from PerfumersWorld,7392-19-0,LIMETOL,Floral,No description available,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.91,CC1(CCCC(O1)(C)C=C)C
4LL00277,Linalool Oxide from PerfumersWorld,5989-33-3,cis-Linalool Oxide,Floral,No description available,C10 O2,"Ether, Tertiary Alcohol",Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),170.25,1.88,CC1(CCC(O1)C(C)(C)O)C=C
3LL00278,Linalool Synthetic from PerfumersWorld,78-70-6,Linalool,Aldehydic (Complex),Base,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(C)(C=C)O)C
8F3094001295,Linalool from SimpleScentsDIY,78-70-6,Linalool,Aldehydic (Complex),Base,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(C)(C=C)O)C
3LF00279,Linalyl Acetate from PerfumersWorld,115-95-7,LINALYL ACETATE,Citrus (Bergamot),Top,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(C)(C=C)OC(=O)C)C
8F3094001299,Linalyl Acetate from SimpleScentsDIY,115-95-7,LINALYL ACETATE,Citrus (Bergamot),Top,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(C)(C=C)OC(=O)C)C
3LC12899,Linalyl Propionate from PerfumersWorld,144-39-8,Linalyl propionate,Floral,No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.32,3.63,CCC(=O)OC(C)(CCC=C(C)C)C=C
3MG00282,Lyral from PerfumersWorld,31906-04-4,4-(4-hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,Floral,No description available,C13 O2,"Aldehyde, Tertiary Alcohol",Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.32,2.85,CC(C)(CCCC1=CCC(CC1)C=O)O
5VD10871,METHYL LAITONE 10% DPG from PerfumersWorld,94201-19-1,8-METHYL-1-OXASPIRO[4.5]DECAN-2-ONE,Gourmet (Sweet),No description available,C10 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),168.24,2.27,CC1CCC2(CC1)CCC(=O)O2
8B3094000972,MMB (3-methoxy-3-methyl-1-butanol) 1 kg from SimpleScentsDIY,56539-66-3,3-Methoxy-3-methylbutan-1-ol,Solvent,Blender,C6 O2,"Ether, Primary Alcohol",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),118.18,0.79,CC(C)(CCO)OC
5GL23703,Maceal 10% in DPG from PerfumersWorld,67845-30-1,"Bicyclo[2.2.2]oct-5-ene-2-carboxaldehyde, 6-methyl-8-(1-methylethyl)-",Green,No description available,C13 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.06,CC1=CC2CC(C1CC2C(C)C)C=O
4GL22835,Maceal from PerfumersWorld,67845-30-1,"Bicyclo[2.2.2]oct-5-ene-2-carboxaldehyde, 6-methyl-8-(1-methylethyl)-",Green,No description available,C13 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.06,CC1=CC2CC(C1CC2C(C)C)C=O
2XX14556,Macrolide from PerfumersWorld,106-02-5,Oxacyclohexadecan-2-one,Musk (Botanical),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),240.39,4.61,O=C1CCCCCCCCCCCCCCO1
3MN13569,Magnolan from PerfumersWorld,27606-14-6,Magnolan,Floral,No description available,C13 O2,Acetal,Aromatic (Benzene),Yes,Base Note,Standard (Alcohol Compatible),204.27,2.68,CC1C2CC3=CC=CC=C3C2OC(O1)C
8F3094001705,Magnolan from SimpleScentsDIY,27606-09-3,Magnolan,Floral,No description available,C13 O2,Acetal,Aromatic (Benzene),Yes,Base Note,Standard (Alcohol Compatible),204.27,2.68,CC1C2CC3=CC=CC=C3C2OC(O1)C
8F3094004208,Majantol from SimpleScentsDIY,103694-68-4,Majantol,Floral,No description available,C12 O1,Primary Alcohol,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),178.27,2.56,CC1=CC(=CC=C1)CC(C)(C)CO
5VE08421,Maltol 1% in DPG from PerfumersWorld,118-71-8,MALTOL,Gourmet (Sugar),No description available,C6 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),126.11,0.65,CC1=C(C(=O)C=CO1)O
5VE10963,Maltol 5% in DPG from PerfumersWorld,118-71-8,MALTOL,Gourmet (Sugar),No description available,C6 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),126.11,0.65,CC1=C(C(=O)C=CO1)O
1VE00283,Maltol from PerfumersWorld,118-71-8,MALTOL,Gourmet (Sugar),No description available,C6 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),126.11,0.65,CC1=C(C(=O)C=CO1)O
4FG15438,Manzanate from PerfumersWorld,39255-32-8,Ethyl 2-methylpentanoate,Green,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.21,1.99,CCCC(C)C(=O)OCC
8F3094001433,Manzanate from SimpleScentsDIY,39255-32-8,Ethyl 2-methylpentanoate,Green,No description available,C8 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),144.21,1.99,CCCC(C)C(=O)OCC
8F3094004209,Maple Lactone (Powder) from SimpleScentsDIY,80-71-7,Cyclotene,Gourmet (Sugar),No description available,C6 O2,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),112.13,1.18,CC1=C(C(=O)CC1)O
8F3094004210,Maple Lactone 10 % in DPG from SimpleScentsDIY,80-71-7,Cyclotene,Gourmet (Sugar),No description available,C6 O2,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),112.13,1.18,CC1=C(C(=O)CC1)O
5VE09632,Maple Lactone 10% in DPG from PerfumersWorld,80-71-7,Cyclotene,Gourmet (Sugar),No description available,C6 O2,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),112.13,1.18,CC1=C(C(=O)CC1)O
1VE00286,Maple Lactone from PerfumersWorld,80-71-7,Cyclotene,Gourmet (Sugar),No description available,C6 O2,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),112.13,1.18,CC1=C(C(=O)CC1)O
3MG11691,Mayol from PerfumersWorld,13828-37-0,p-MENTHAN-7-OL,Woods (Rot),Heart,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.44,CC(C)C1CCC(CC1)CO
8F3094001779,Mayol from SimpleScentsDIY,13828-37-0,p-MENTHAN-7-OL,Woods (Rot),Base,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.44,CC(C)C1CCC(CC1)CO
5FG08480,Melonal 10% in DPG from PerfumersWorld,106-72-9,"2,6-Dimethyl-5-heptenal",Fruit (Melon),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),140.23,2.57,CC(CCC=C(C)C)C=O
8F3094001286,Melonal 50% in DPG from SimpleScentsDIY,106-72-9,"2,6-Dimethyl-5-heptenal",Fruit (Melon),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),140.23,2.57,CC(CCC=C(C)C)C=O
4FG00289,Melonal from PerfumersWorld,106-72-9,"2,6-Dimethyl-5-heptenal",Fruit (Melon),Top,C9 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),140.23,2.57,CC(CCC=C(C)C)C=O
5BB08460,Menthol Crystals 50% in DPG from PerfumersWorld,2216-51-5,l-Menthol,Mint (Cold),Top,C10 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.44,CC1CCC(C(C1)O)C(C)C
1BB00290,Menthol Crystals from PerfumersWorld,2216-51-5,l-Menthol,Mint (Cold),Top,C10 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.44,CC1CCC(C(C1)O)C(C)C
5BB08203,Menthone 10% in DPG from PerfumersWorld,10458-14-7,p-Menthan-3-one,Floral,No description available,C10 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.65,CC1CCC(C(=O)C1)C(C)C
4BB00291,Menthone from PerfumersWorld,89-80-5,MENTHONE,Floral,No description available,C10 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.65,CC1CCC(C(=O)C1)C(C)C
3LB00292,Menthyl Acetate from PerfumersWorld,16409-45-3,Menthyl acetate,Fruit (Berry),No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),198.31,3.01,CC1CCC(C(C1)OC(=O)C)C(C)C
4LF00294,Methyl Amyl Ketone from PerfumersWorld,110-43-0,2-HEPTANONE,Fruity,No description available,C7 O1,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),114.19,2.16,CCCCCC(=O)C
5NC12471,Methyl Anthranilate 10% in DPG from PerfumersWorld,134-20-3,METHYL ANTHRANILATE,Floral (Orange Bl.),Heart-Top,C8 O2 N1,"Amine, Ester",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),151.16,1.06,COC(=O)C1=CC=CC=C1N
4NC00295,Methyl Anthranilate from PerfumersWorld,134-20-3,METHYL ANTHRANILATE,Floral (Orange Bl.),Heart-Top,C8 O2 N1,"Amine, Ester",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),151.16,1.06,COC(=O)C1=CC=CC=C1N
8F3094001296,Methyl Anthranilate from SimpleScentsDIY,134-20-3,METHYL ANTHRANILATE,Floral (Orange Bl.),Heart-Top,C8 O2 N1,"Amine, Ester",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),151.16,1.06,COC(=O)C1=CC=CC=C1N
5NJ07849,Methyl Benzoate 10% in DPG from PerfumersWorld,93-58-3,METHYL BENZOATE,Phenolic,No description available,C8 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),136.15,1.47,COC(=O)C1=CC=CC=C1
4NJ00296,Methyl Benzoate from PerfumersWorld,93-58-3,METHYL BENZOATE,Phenolic,No description available,C8 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),136.15,1.47,COC(=O)C1=CC=CC=C1
8F3094001774,Methyl Benzoate from SimpleScentsDIY,93-58-3,METHYL BENZOATE,Phenolic,No description available,C8 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),136.15,1.47,COC(=O)C1=CC=CC=C1
5PS07822,Methyl Chavicol 10% in DPG from PerfumersWorld,140-67-0,Estragole,Floral (Ylang),Heart,C10 O1,"Allyl, Ether",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),148.2,2.42,COC1=CC=C(C=C1)CC=C
4PS02272,Methyl Chavicol from PerfumersWorld,140-67-0,Estragole,Floral (Ylang),Heart,C10 O1,"Allyl, Ether",Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),148.2,2.42,COC1=CC=C(C=C1)CC=C
5SC12482,Methyl Cinnamate 10% in DPG from PerfumersWorld,103-26-4,Methyl cinnamate,Balsamic (Sweet),No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),162.19,1.87,COC(=O)C=CC1=CC=CC=C1
2SC00297,Methyl Cinnamate from PerfumersWorld,103-26-4,Methyl cinnamate,Balsamic (Sweet),No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),162.19,1.87,COC(=O)C=CC1=CC=CC=C1
4SP16859,Methyl Diantilis from PerfumersWorld,5595-79-9,2-ethoxy-4-(methoxymethyl)phenol,Spicy,No description available,C10 O3,"Ether, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),182.22,1.94,CCOC1=C(C=CC(=C1)COC)O
9SW00298,Methyl Eugenol from PerfumersWorld,93-15-2,Methyl eugenol,Floral (Ylang),Heart,C11 O2,"Allyl, Ether",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),178.23,2.43,COC1=C(C=C(C=C1)CC=C)OC
3LF00299,Methyl Hexyl Ketone from PerfumersWorld,111-13-7,2-OCTANONE,Earthy,No description available,C8 O1,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),128.21,2.55,CCCCCCC(=O)C
8F3094001823,Methyl Ionone Pure from SimpleScentsDIY,127-51-5,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",Woods (Agarwood),Base,C14 O1,Ketone,Aliphatic,No,Base Note,Standard (Alcohol Compatible),206.33,3.9,CC1=CCCC(C1C=C(C)C(=O)C)(C)C
9SP02300,Methyl Isoeugenol from PerfumersWorld,93-16-3,Methylisoeugenol,Spicy,No description available,C11 O2,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),178.23,2.74,CC=CC1=CC(=C(C=C1)OC)OC
4JN15333,Methyl Jasmonate from PerfumersWorld,39924-52-2,methyl 2-[3-oxo-2-[(E)-pent-2-enyl]cyclopentyl]acetate,Floral,No description available,C13 O3,"Ester, Ketone",Aliphatic,No,Base Note,Standard (Alcohol Compatible),224.3,2.5,CCC=CCC1C(CCC1=O)CC(=O)OC
4LY00304,Methyl Nonyl Ketone from PerfumersWorld,112-12-9,2-Undecanone,Fruity,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.3,3.72,CCCCCCCCCC(=O)C
5GI07522,Methyl Octine Carbonate 10% in DPG from PerfumersWorld,111-80-8,Methyl 2-nonynoate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.24,2.13,CCCCCCC#CC(=O)OC
4GI00305,Methyl Octine Carbonate from PerfumersWorld,111-80-8,Methyl 2-nonynoate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.24,2.13,CCCCCCC#CC(=O)OC
8F3094001829,Methyl Octine Carbonate from SimpleScentsDIY,111-80-8,Methyl 2-nonynoate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.24,2.13,CCCCCCC#CC(=O)OC
4FC11677,Methyl Pample Mousse from PerfumersWorld,67674-46-8,"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",Fruity,No description available,C11 O2,Acetal,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),186.29,2.99,CC(=CCC(C)(C)C(OC)OC)C
5FC19406,Methyl Pamplemousse 10% in TEC from PerfumersWorld,67674-46-8,"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",Fruity,No description available,C11 O2,Acetal,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),186.29,2.99,CC(=CCC(C)(C)C(OC)OC)C
8F3094001757,"Methyl Pamplemousse, Amarocite from SimpleScentsDIY",67674-46-8,"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",Fruity,No description available,C11 O2,Acetal,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),186.29,2.99,CC(=CCC(C)(C)C(OC)OC)C
5OP07554,Methyl Salicylate 10% in DPG from PerfumersWorld,119-36-8,methyl salicylate,Facet (Wintergreen),Top,C8 O3,Salicylate,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),152.15,1.18,COC(=O)C1=CC=CC=C1O
3OP00306,Methyl Salicylate from PerfumersWorld,119-36-8,methyl salicylate,Facet (Wintergreen),Top,C8 O3,Salicylate,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),152.15,1.18,COC(=O)C1=CC=CC=C1O
5SC07858,Methyl cinnamate 50% in DPG from PerfumersWorld,103-26-4,Methyl cinnamate,Balsamic (Sweet),No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),162.19,1.87,COC(=O)C=CC1=CC=CC=C1
8F3094005313,Muscenone from SimpleScentsDIY,82356-51-2,METHYLCYCLOPENTADECENONE,Musk,No description available,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),236.4,5.2,CC1=CCCCCCCCCCCCCC1=O
4XU05022,Muscone from PerfumersWorld,541-91-3,3-Methylcyclopentadecanone,Musk,No description available,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),238.41,5.28,CC1CCCCCCCCCCCCC(=O)C1
8F3094001708,Muscone from SimpleScentsDIY,541-91-3,3-Methylcyclopentadecanone,Musk,No description available,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),238.41,5.28,CC1CCCCCCCCCCCCC(=O)C1
2XA09558,Musk Concentrate from PerfumersWorld,1222-05-5,Galaxolide,Musk (Clean),Base,C20,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Lipophilic (Oil/Wax Compatible),268.44,5.84,CC1CC2(C(C1)C)C3=C(C=C2C)C(=CC(=C3)C)C(C)C
5XU07864,Musk Ketone 10% in DEP from PerfumersWorld,81-14-1,MUSK KETONE,Amber (Rich),Base,C14 O5 N2,"Amine, Ketone",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),294.31,3.62,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C
5XU09977,Musk Ketone 10% in DPG from PerfumersWorld,81-14-1,MUSK KETONE,Amber (Rich),Base,C14 O5 N2,"Amine, Ketone",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),294.31,3.62,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C
1XU00308,Musk Ketone from PerfumersWorld,81-14-1,MUSK KETONE,Amber (Rich),Base,C14 O5 N2,"Amine, Ketone",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),294.31,3.62,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C
5MA08478,Myrac Aldehyde 10% in DPG from PerfumersWorld,37677-14-8,Myrac aldehyde,Aldehydic (Clean),No description available,C13 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.66,CC(=CCCC1=CCC(CC1)C=O)C
4MA00312,Myrac Aldehyde from PerfumersWorld,37677-14-8,Myrac aldehyde,Aldehydic (Clean),No description available,C13 O1,Aldehyde,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.66,CC(=CCCC1=CCC(CC1)C=O)C
3CQ00313,Myrcene from PerfumersWorld,123-35-3,MYRCENE,Spicy,No description available,C10,Hydrocarbon / Other,Aliphatic,No,Top Note,Standard (Alcohol Compatible),136.24,3.48,CC(=CCCC(=C)C=C)C
1AA05031,Myristic Acid from PerfumersWorld,544-63-8,Tetradecanoic acid,Floral (Orris),Heart,C14 O2,Carboxylic Acid,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),228.38,4.77,CCCCCCCCCCCCCC(=O)O
8F3094001552,Natural B-Pinene from SimpleScentsDIY,127-91-3,BETA-PINENE,Green (Herbal),No description available,C10,Hydrocarbon / Other,Aliphatic,No,Top Note,Standard (Alcohol Compatible),136.24,3.0,CC1(C2CCC(=C)C1C2)C
4GI02379,Neofolione from PerfumersWorld,111-79-5,Methyl non-2-enoate,Green,No description available,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),170.25,2.69,CCCCCCC=CC(=O)OC
3CR00317,Nerol from PerfumersWorld,106-25-2,nerol,Aldehydic (Complex),Heart,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(=CCO)C)C
8F3094001294,Nerol from SimpleScentsDIY,106-25-2,nerol,Aldehydic (Complex),Heart,C10 O1,Primary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.67,CC(=CCCC(=CCO)C)C
3LM00319,Nerolidol from PerfumersWorld,7212-44-4,NEROLIDOL,Floral,No description available,C15 O1,Tertiary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),222.37,4.4,CC(=CCCC(=CCCC(C)(C=C)O)C)C
8F3094005322,Nerolidol from SimpleScentsDIY,7212-44-4,NEROLIDOL,Floral,No description available,C15 O1,Tertiary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),222.37,4.4,CC(=CCCC(=CCCC(C)(C=C)O)C)C
5CN09239,Nerolin Bromelia 10% in DPG from PerfumersWorld,93-18-5,Nerolin Bromelia,Phenolic,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),172.23,3.24,CCOC1=CC2=CC=CC=C2C=C1
1CN00320,Nerolin Bromelia from PerfumersWorld,93-18-5,Nerolin Bromelia,Phenolic,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),172.23,3.24,CCOC1=CC2=CC=CC=C2C=C1
5CN09971,Nerolin Yara Yara 10% in DPG from PerfumersWorld,93-04-9,2-METHOXYNAPHTHALENE,Phenolic,No description available,C11 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),158.2,2.85,COC1=CC2=CC=CC=C2C=C1
