SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
5FG22457,Dynascone 10% in DPG from PerfumersWorld,56973-85-4,"1-(5,5-dimethylcyclohexen-1-yl)pent-4-en-1-one",Green (Bitter),Top,C13 O1,"Allyl, Ketone",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.66,CC1(CCC=C(C1)C(=O)CCC=C)C
4FG07161,Dynascone from PerfumersWorld,56973-85-4,"1-(5,5-dimethylcyclohexen-1-yl)pent-4-en-1-one",Green (Bitter),Top,C13 O1,"Allyl, Ketone",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.66,CC1(CCC=C(C1)C(=O)CCC=C)C
8F3094001904,Dynascone from SimpleScentsDIY,56973-85-4,"1-(5,5-dimethylcyclohexen-1-yl)pent-4-en-1-one",Green (Bitter),Top,C13 O1,"Allyl, Ketone",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),192.3,3.66,CC1(CCC=C(C1)C(=O)CCC=C)C
4WX07563,Ebanol from PerfumersWorld,67801-20-1,28N247O58B,Woods,No description available,C14 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.34,3.55,CC1=CCC(C1(C)C)C=CC(C)C(C)O
8F3094004194,Ebanol from SimpleScentsDIY,67801-20-1,28N247O58B,Woods,No description available,C14 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.34,3.55,CC1=CCC(C1(C)C)C=CC(C)C(C)O
Ethanol 99.9% from PerfumersWorld,Ethanol 99.9% from PerfumersWorld,64-17-5,ethanol,Unclassified,No description available,C2 O1,Primary Alcohol,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),46.07,-0.0,CCO
5FD12135,Ethyl 2-Methylbutyrate 10% in DPG from PerfumersWorld,7452-79-1,Ethyl 2-methylbutyrate,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CCC(C)C(=O)OCC
4FD04118,Ethyl 2-Methylbutyrate from PerfumersWorld,7452-79-1,Ethyl 2-methylbutyrate,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CCC(C)C(=O)OCC
8F3094001483,Ethyl 2-methyl butyrate from SimpleScentsDIY,7452-79-1,Ethyl 2-methylbutyrate,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CCC(C)C(=O)OCC
5FC12427,Ethyl Acetate 10% in DPG from PerfumersWorld,141-78-6,ETHYL ACETATE,Fruity,No description available,C4 O2,Ester,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,0.57,CCOC(=O)C
